R_Type,#,Barcodes,Location,Row,Column,Original Name,compound_name,core_common_name,substituents,conjugation,side_chain_group,salt,SMILES_unsalted,core_alkene,mw_g_mol,formula,state,concentration_mM
BA,150,R-9AKPZH,TauCBA,7,2,TAURO LITHOCHOLIC ACID,Tau-LCA,LCA,3a,Tau,sulfonic_acid,NA,,NA,,,,
BA,152,R-TWK6K6,TauCBA,7,4,Taurolithocholic acid (or Na+ salt),Tau-LCA,LCA,3a,Tau,sulfonic_acid,Sodium,,NA,,,,
BA,153,R-WYD7ZX,TauCBA,7,5,Taurolithocholic acid - prob. Na+ salt impure,Tau-LCA,LCA,3a,Tau,sulfonic_acid,Sodium,,NA,,,,
BA,397,R-WDFUM9,FlaBA,3,9,3a taurine,Tau-LCA,LCA,3a,Tau,sulfonic_acid,NA,,NA,,,,
BA,822,R-T5ZWY8,RDF1V,1,NA,"TLCA, Sodium Taurolithocholate",Tau-LCA,LCA,3a,Tau,sulfonic_acid,Sodium,,NA,,,,
BA,107,R-6NP3VF,TauCBA,2,9,Tauro 3a 12b Na+ salt (pure),Tau-LDCA,LDCA,3a_12b,Tau,sulfonic_acid,Sodium,,NA,,,,
BA,129,R-7VQ22K,TauCBA,5,1,Tauro 3a 12b dihydroxy cholanate Na+ (pure),Tau-LDCA,LDCA,3a_12b,Tau,sulfonic_acid,Sodium,,NA,,,,
BA,374,r-v9auwb,FlaBA,1,6,3a 12b taurine,Tau-LDCA,LDCA,3a_12b,Tau,sulfonic_acid,NA,,NA,,,,
BA,98,R-NE4M4X,TauCBA,2,1,23-R-OH Tauro CDC R-PCA Taurine,Tau-PCA,PCA,3a_7a_23R,Tau,sulfonic_acid,NA,,NA,,,,
BA,104,R-YJTMKH,TauCBA,2,6,Tauro phocaecholate Na+ salt,Tau-PCA,PCA,3a_7a_23R,Tau,sulfonic_acid,Sodium,,NA,,,,
BA,100,R-RC39GS,TauCBA,2,3,Tauro sinocholate Na+ salt,Tau-SCA,SCA,3b_7b_12b,Tau,sulfonic_acid,Sodium,,NA,,,,
BA,89,R-24FZXF,TauCBA,1,1,Tauroursocholate Na+ salt,Tau-UCA,UCA,3a_7b_12a,Tau,sulfonic_acid,Sodium,,NA,,,,
BA,102,R-VMPA9Q,TauCBA,2,4,Tauro-ursocholate,Tau-UCA,UCA,3a_7b_12a,Tau,sulfonic_acid,NA,,NA,,,,
BA,116,R-HZTJJR,TauCBA,3,8,Tauroursocholic acid (pure),Tau-UCA,UCA,3a_7b_12a,Tau,sulfonic_acid,NA,,NA,,,,
BA,163,R-3QPXPA,TauCBA,8,5,Tauro ursocholate Na+,Tau-UCA,UCA,3a_7b_12a,Tau,sulfonic_acid,Sodium,,NA,,,,
BA,372,r-rf524w,FlaBA,1,4,3a 7b 12a taurine,Tau-UCA,UCA,3a_7b_12a,Tau,sulfonic_acid,NA,,NA,,,,
BA,90,R-AG3WRR,TauCBA,1,1,Tauroursodeoxycholate Na+ salt,Tau-UDCA,UDCA,3a_7b,Tau,sulfonic_acid,Sodium,,NA,,,,
BA,120,R-QFYXH3,TauCBA,4,2,Tauro ursodeoxy-cholate Na+,Tau-UDCA,UDCA,3a_7b,Tau,sulfonic_acid,Sodium,,NA,,,,
BA,121,R-RREYM4,TauCBA,4,3,TUDC Diamalt pure Na+ salt,Tau-UDCA,UDCA,3a_7b,Tau,sulfonic_acid,Sodium,,NA,,,,
BA,130,R-G3PVSE,TauCBA,5,2,Tauro ursodeoxy-cholate Na+,Tau-UDCA,UDCA,3a_7b,Tau,sulfonic_acid,Sodium,,NA,,,,
BA,139,R-CF62JN,TauCBA,6,1,TAUROURSODEOXYCHOLIC ACID - Sodium salt,Tau-UDCA,UDCA,3a_7b,Tau,sulfonic_acid,Sodium,,NA,,,,
BA,145,R-KZHK4N,TauCBA,6,7,Tauro ursoDC Na+,Tau-UDCA,UDCA,3a_7b,Tau,sulfonic_acid,Sodium,,NA,,,,
BA,148,R-NHZ75U,TauCBA,6,10,Na+ TUDC pure,Tau-UDCA,UDCA,3a_7b,Tau,sulfonic_acid,Sodium,,NA,,,,
BA,162,R-TSU7SQ,TauCBA,8,4,Na+ TUDC pure (Diamalt),Tau-UDCA,UDCA,3a_7b,Tau,sulfonic_acid,Sodium,,NA,,,,
BA,370,r-ne9fms,FlaBA,1,2,3a 7b taurine,Tau-UDCA,UDCA,3a_7b,Tau,sulfonic_acid,NA,,NA,,,,
BA,829,R-PBHF78,RDF1V,8,NA,Tauroursodeoxycholic Acid [500mg],Tau-UDCA,UDCA,3a_7b,Tau,sulfonic_acid,NA,,NA,,,,
BA,734,R-YNCRFF,EGBAs,5,9,Thr-CA,Thr-CA,CA,3a_7a_12a,Thr,carboxylic_acid,NA,,NA,,,,
Other,816,R-JSXREP,SHLFR,15,NA,Triethylamine N-oxide,Triethylamine N-oxide,NA,NA,NA,,NA,,,,,,
BA,735,R-3QE2TC,EGBAs,5,10,Trp-CA,Trp-CA,CA,3a_7a_12a,Trp,carboxylic_acid,NA,,NA,,,,
BA,767,R-KUQDYV,BATEF,2,6,Trp-CA,Trp-CA,CA,3a_7a_12a,Trp,carboxylic_acid,NA,,NA,,,,
BA,736,R-6HEA95,EGBAs,6,1,Trp-CDCA,Trp-CDCA,CDCA,3a_7a,Trp,carboxylic_acid,NA,,NA,,,,
BA,737,R-8PB7EY,EGBAs,6,2,Trp-DCA,Trp-DCA,DCA,3a_12a,Trp,carboxylic_acid,NA,,NA,,,,
BA,783,R-A8M65K,BATEF,4,2,Trp-DCA,Trp-DCA,DCA,3a_12a,Trp,carboxylic_acid,NA,,NA,,,,
BA,738,R-89YJS8,EGBAs,6,3,Trp-HDCA,Trp-HDCA,HDCA,3a_6a,Trp,carboxylic_acid,NA,,NA,,,,
BA,792,R-RK29EE,BATEF,5,1,Trp-HDCA,Trp-HDCA,HDCA,3a_6a,Trp,carboxylic_acid,NA,,NA,,,,
BA,739,R-AZDAGK,EGBAs,6,4,Trp-UDCA,Trp-UDCA,UDCA,3a_7b,Trp,carboxylic_acid,NA,,NA,,,,
BA,801,R-8GJ2QJ,BATEF,5,10,Trp-UDCA,Trp-UDCA,UDCA,3a_7b,Trp,carboxylic_acid,NA,,NA,,,,
Amine,815,R-GDN6AU,SHLFR,14,NA,Tryptamine hydrochloride,Tryptamine hydrochloride,NA,NA,NA,,NA,,,,,,
BA,745,R-MEJ67P,EGBAs,6,10,Tyr-bMCA,Tyr-bMCA,b_MCA,3a_6b_7b,Tyr,carboxylic_acid,NA,,NA,,,,
